Term (EN),Translation (IT),Part of Speech,Description,Domain
Good,Buono,adj,Spell descriptor / energy type,Magic
Good Domain,Dominio del Bene,noun,Cleric domain,Magic
Harmless,Innocuo,,Magic term,Magic
Healing,Guarigione,noun,Subschool of magic,Magic
Healing Domain,Dominio della Guarigione,noun,Cleric domain,Magic
Illusion,Illusione,noun,School of magic,Magic
Instantaneous,Istantanea,,Magic term,Magic
Knowledge Domain,Dominio della Conoscenza,noun,Cleric domain,Magic
Language-Dependent,Extralinguistico,adj,Spell descriptor / energy type,Magic
Law Domain,Dominio della Legge,noun,Cleric domain,Magic
Lawful,Legale,adj,Spell descriptor / energy type,Magic
Light,Luce,adj,Spell descriptor / energy type,Magic
Long,Lungo,,Magic term,Magic
Luck Domain,Dominio della Fortuna,noun,Cleric domain,Magic
Magic Domain,Dominio della Magia,noun,Cleric domain,Magic
Material,Materiale,,Magic term,Magic
Metamagic,Metamagia,,Magic term,Magic
Mind-Affecting,Influenza mentale,adj,Spell descriptor / energy type,Magic
Necromancy,Necromanzia,noun,School of magic,Magic
None,Nessuno,,Magic term,Magic
Orison,Orazione,,Magic term,Magic
Pattern,Trama,noun,Subschool of magic,Magic
Permanent,Permanente,,Magic term,Magic
Personal,Personale,,Magic term,Magic
Phantasm,Fantasma,noun,Subschool of magic,Magic
Plant Domain,Dominio delle Piante,noun,Cleric domain,Magic
Prepared,Preparato,,Magic term,Magic
Protection Domain,Dominio della Protezione,noun,Cleric domain,Magic
Range,Gittata,,Magic term,Magic
Reflex half,Riflessi dimezza,,Magic term,Magic
Scrying,Scrutare,noun,Subschool of magic,Magic
Shadow,Ombra,noun,Subschool of magic,Magic
Somatic,Somatica,,Magic term,Magic
Sonic,Sonoro,adj,Spell descriptor / energy type,Magic
Sp,Mag,,Magic term,Magic
Spell,Incantesimo,,Magic term,Magic
Spell Level,Livello Incantesimo,,Magic term,Magic
Spell Slot,Slot Incantesimo,,Magic term,Magic
Spell-Like Ability,Capacita Magica,,Magic term,Magic
Spells,Incantesimi,,Magic term,Magic
Spontaneous,Spontaneo,,Magic term,Magic
Strength Domain,Dominio della Forza,noun,Cleric domain,Magic
Su,Sop,,Magic term,Magic
Summoning,Convocazione,noun,Subschool of magic,Magic
Sun Domain,Dominio del Sole,noun,Cleric domain,Magic
Supernatural Ability,Capacita Soprannaturale,,Magic term,Magic
Target,Bersaglio,,Magic term,Magic
Teleportation,Teletrasporto,noun,Subschool of magic,Magic
Touch,Contatto,,Magic term,Magic
Transmutation,Trasmutazione,noun,School of magic,Magic
Travel Domain,Dominio del Viaggio,noun,Cleric domain,Magic
Trickery Domain,Dominio dell'Inganno,noun,Cleric domain,Magic
Universal,Universale,noun,School of magic,Magic
Verbal,Verbale,,Magic term,Magic
War Domain,Dominio della Guerra,noun,Cleric domain,Magic
Water,Acqua,adj,Spell descriptor / energy type,Magic
Water Domain,Dominio dell'Acqua,noun,Cleric domain,Magic
Will negates,Volonta nega,,Magic term,Magic
XP Cost,Costo in PE,,Magic term,Magic
Yes,Si,,Magic term,Magic
Dwarves,Nani,noun,Race,Races
Elves,Elfi,noun,Race,Races
Gnomes,Gnomi,noun,Race,Races
Half-Elves,Mezzelfi,noun,Race,Races
Half-Orcs,Mezzorchi,noun,Race,Races
Halflings,Halfling,noun,Race,Races
Humans,Umani,noun,Race,Races
Alchemy,Alchimia,noun,Skill,Skills
Animal Empathy,Empatia Animale,noun,Skill,Skills
Appraise,Valutare,noun,Skill,Skills
Autohypnosis,Autoipnosi,noun,Skill,Skills
Balance,Equilibrio,noun,Skill,Skills
Bluff,Raggirare,noun,Skill,Skills
Climb,Scalare,noun,Skill,Skills
Concentration,Concentrazione,noun,Skill,Skills
Control Shape,Controllare Forma,noun,Skill,Skills
Craft,Artigianato,noun,Skill,Skills
Decipher Script,Decifrare Scritture,noun,Skill,Skills
Diplomacy,Diplomazia,noun,Skill,Skills
Disable Device,Disattivare Congegni,noun,Skill,Skills
Disguise,Camuffare,noun,Skill,Skills
Escape Artist,Artista della Fuga,noun,Skill,Skills
Forgery,Falsificare,noun,Skill,Skills
Gather Information,Raccogliere Informazioni,noun,Skill,Skills
Handle Animal,Addestrare Animali,noun,Skill,Skills
Heal,Guarire,noun,Skill,Skills
Hide,Nascondersi,noun,Skill,Skills
Innuendo,Allusione,noun,Skill,Skills
Intimidate,Intimidire,noun,Skill,Skills
Intuit Direction,Senso della Direzione,noun,Skill,Skills
Jump,Saltare,noun,Skill,Skills
Knowledge,Conoscenze,noun,Skill,Skills
Knowledge (arcana),Conoscenze (Arcane),noun,Skill,Skills
Knowledge (architecture and engineering),Conoscenze (Architettura e Ingegneria),noun,Skill,Skills
Knowledge (dungeoneering),Conoscenze (Sotterranei),noun,Skill,Skills
Knowledge (geography),Conoscenze (Geografia),noun,Skill,Skills
Knowledge (history),Conoscenze (Storia),noun,Skill,Skills
Knowledge (local),Conoscenze (Locali),noun,Skill,Skills
Knowledge (nature),Conoscenze (Natura),noun,Skill,Skills
Knowledge (nobility and royalty),Conoscenze (Nobiltà e Regalità),noun,Skill,Skills
Knowledge (religion),Conoscenze (Religione),noun,Skill,Skills
Knowledge (the planes),Conoscenze (Piani),noun,Skill,Skills
Listen to This,Ascoltare,noun,Skill,Skills
Lucid Dreaming,Sogno Lucido,noun,Skill,Skills
Martial Lore,Conoscenze Marziali,noun,Skill,Skills
Move Silently,Muoversi Silenziosamente,noun,Skill,Skills
Open Lock,Scassinare Serrature,noun,Skill,Skills
Perform,Intrattenere,noun,Skill,Skills
Profession,Professione,noun,Skill,Skills
Psicraft,Sapienza Psichica,noun,Skill,Skills
Read Lips,Leggere Labbra,noun,Skill,Skills
Ride,Cavalcare,noun,Skill,Skills
Scry,Scrutare,noun,Skill,Skills
Search,Cercare,noun,Skill,Skills
Sense Motive,Percepire Intenzioni,noun,Skill,Skills
Sleight of Hand,Rapidità di Mano,noun,Skill,Skills
Speak Language,Parlare Linguaggi,noun,Skill,Skills
Spellcraft,Sapienza Magica,noun,Skill,Skills
Spot,Osservare,noun,Skill,Skills
Survival,Sopravvivenza,noun,Skill,Skills
Swim,Nuotare,noun,Skill,Skills
Truespeak,Linguaggio Vero,noun,Skill,Skills
Tumble,Acrobazia,noun,Skill,Skills
Use Magic Device,Utilizzare Oggetti Magici,noun,Skill,Skills
Use Rope,Utilizzare Corde,noun,Skill,Skills
Wilderness Lore,Conoscenza della Natura,noun,Skill,Skills
Book of Exalted Deeds,Libro delle Imprese Eroiche,noun,Sourcebook (BE),Sourcebooks
Book of Vile Darkness,Libro delle Fosche Tenebre,noun,Sourcebook (BV),Sourcebooks
CityScape,Scena Urbana,noun,Sourcebook (Ci),Sourcebooks
Complete Adventurer,Perfetto Avventuriero,noun,Sourcebook (CAd),Sourcebooks
Complete Arcane,Perfetto Arcanista,noun,Sourcebook (CAr),Sourcebooks
Complete Champion,Campione Completo,noun,Sourcebook (CC),Sourcebooks
Complete Divine,Perfetto Sacerdote,noun,Sourcebook (CD),Sourcebooks
Complete Mage,Mago Completo,noun,Sourcebook (CM),Sourcebooks
Complete Psionic,Psionico Completo,noun,Sourcebook (CP),Sourcebooks
Complete Scoundrel,Furfante Completo,noun,Sourcebook (CS),Sourcebooks
Complete Warrior,Perfetto Combattente,noun,Sourcebook (CW),Sourcebooks
Deities and Demigods,Divinita e Semidei,noun,Sourcebook (DD),Sourcebooks
Dragon Magic,Magia Draconica,noun,Sourcebook (DM),Sourcebooks
Dungeon Master's Guide,Guida del Dungeon Master,noun,Sourcebook (DMG),Sourcebooks
Dungeon Master's Guide II,Guida del Dungeon Master II,noun,Sourcebook (DMG2),Sourcebooks
Dungeonscape,Scena del Dungeon,noun,Sourcebook (Du),Sourcebooks
Epic Level Handbook,Manuale dei Livelli Epici,noun,Sourcebook (EL),Sourcebooks
Expanded Psionics Handbook,Manuale Psionico Espanso,noun,Sourcebook (XPH),Sourcebooks
Fiend Folio,Compendio dei Mostri,noun,Sourcebook (FF),Sourcebooks
Fiendish Codex I: Hordes of the Abyss,Codex Immondo I: Orde dell'Abisso,noun,Sourcebook (FCI),Sourcebooks
Frostburn,Gelo e Ghiaccio,noun,Sourcebook (Fr),Sourcebooks
Heroes of Battle,Eroi di Battaglia,noun,Sourcebook (HB),Sourcebooks
Heroes of Horror,Eroi dell'Orrore,noun,Sourcebook (HH),Sourcebooks
Libris Mortis,Liber Mortis,noun,Sourcebook (LM),Sourcebooks
Lords of Madness,Signori della Follia,noun,Sourcebook (LoM),Sourcebooks
Magic of Incarnum,Magia dell'Incarnum,noun,Sourcebook (MoI),Sourcebooks
Miniatures Handbook,Manuale delle Miniature,noun,Sourcebook (MH),Sourcebooks
Monster Manual,Manuale dei Mostri,noun,Sourcebook (MM),Sourcebooks
Monster Manual II,Manuale dei Mostri II,noun,Sourcebook (MM2),Sourcebooks
Monster Manual III,Manuale dei Mostri III,noun,Sourcebook (MM3),Sourcebooks
Monster Manual IV,Manuale dei Mostri IV,noun,Sourcebook (MM4),Sourcebooks
Monster Manual V,Manuale dei Mostri V,noun,Sourcebook (MM5),Sourcebooks
Planar Handbook,Atlante Planare,noun,Sourcebook (PlH),Sourcebooks
Player's Handbook,Manuale del Giocatore 3.5,noun,Sourcebook (PH),Sourcebooks
Player's Handbook II,Manuale del Giocatore II,noun,Sourcebook (PH2),Sourcebooks
Races of Destiny,Razze del Destino,noun,Sourcebook (RD),Sourcebooks
Races of Stone,Razze di Pietra,noun,Sourcebook (RS),Sourcebooks
Races of the Wild,Razze Selvagge,noun,Sourcebook (RW),Sourcebooks
Sandstorm,Sabbia e Polvere,noun,Sourcebook (Sa),Sourcebooks
Savage Species,Specie Selvagge,noun,Sourcebook (SS),Sourcebooks
Spell Compendium,Compendio degli Incantesimi,noun,Sourcebook (SpC),Sourcebooks
Tome of Battle: The Book of Nine Swords,Tomo della Battaglia,noun,Sourcebook (ToB),Sourcebooks
Tome of Magic,Tomo della Magia,noun,Sourcebook (TM),Sourcebooks
Unearthed Arcana,Arcani Rivelati,noun,Sourcebook (UA),Sourcebooks
Abolisher,Abolitore,noun,Class,Classes
Acolyte of the Skin,Accolito della Pelle,noun,Class,Classes
Adept,Adepto,noun,Character class,Classes
Alienist,Alienista,noun,Class,Classes
Animal Lord,Signore degli Animali,noun,Class,Classes
Anointed Knight,Cavaliere Alchimista,noun,Class,Classes
Arcane Archer,Arciere Arcano,noun,Class,Classes
Arcane Trickster,Mistificatore Arcano,noun,Class,Classes
Archmage,Arcimago,noun,Class,Classes
Aristocrat,Aristocratico,noun,Character class,Classes
Assassin,Assassino,noun,Class,Classes
Astral Dancer,Danzatore Astrale,noun,Class,Classes
Barbarian,Barbaro,noun,Character class,Classes
Bard,Bardo,noun,Character class,Classes
Battlesmith,Fabbro Guerriero,noun,Class,Classes
Bear Warrior,Combattente Orso,noun,Class,Classes
Beastmaster,Ammaestratore,noun,Class,Classes
Beholder Mage,Beholder Magi,noun,Class,Classes
Beloved of Valarian,Protetta di Valarian,noun,Class,Classes
Black Flame Zealot,Zelota della Fiamma Nera,noun,Class,Classes
Blackguard,Cavaliere Nero,noun,Class,Classes
Blade Bravo,Spadaccino Virtuoso,noun,Class,Classes
Bladesinger,Cantore della Lama,noun,Class,Classes
Blighter,Rinnegato,noun,Class,Classes
Blood Magus,Magus del Sangue,noun,Class,Classes
Bloodhound,Segugio,noun,Class,Classes
Bloodscaled Fury,Furia dalle Scaglie Insanguinate,noun,Class,Classes
Cavalier,Cavaliere,noun,Class,Classes
Celestial Mystic,Mistico Celestiale,noun,Class,Classes
Chameleon,Camaleonte,noun,Class,Classes
Champion of Gwynharwyf,Campione di Gwynharwyf,noun,Class,Classes
Chaotician,Caoticista,noun,Class,Classes
Church Inquisitor,Inquisitore,noun,Class,Classes
Cipher Adept,Adepto Cifrato,noun,Class,Classes
Cleric,Chierico,noun,Character class,Classes
Commoner,Popolano,noun,Character class,Classes
Consecrated Harrier,Cacciatore Consacrato,noun,Class,Classes
Contemplative,Contemplativo,noun,Class,Classes
Corrupt Avenger,Vendicatore Corrotto,noun,Class,Classes
Cragtop Archer,Arciere degli Altopiani,noun,Class,Classes
Daggerspell Mage,Mago dei Pugnali Incantati,noun,Class,Classes
Daggerspell Shaper,Druido dei Pugnali Incantati,noun,Class,Classes
Dark Hunter,Cacciatore Oscuro,noun,Class,Classes
Darkrunner,Scorridore delle Tenebre,noun,Class,Classes
Darkwood Stalker,Predatore dei Boschi,noun,Class,Classes
Dawncaller,Cantore dell'Aurora,noun,Class,Classes
Death Delver,Cacciatore di Morte,noun,Class,Classes
Death's Chosen,Prescelto della Morte,noun,Class,Classes
Deepwarden,Guardiano del Baratro,noun,Class,Classes
Defender of Sealtiel,Difensore di Sealtiel,noun,Class,Classes
Defiant,Sfidante,noun,Class,Classes
Dervish,Derviscio,noun,Class,Classes
Dirgesinger,Cantore Funebre,noun,Class,Classes
Disciple of Ashardalon,Discepolo di Ashardalon,noun,Class,Classes
Dispassionate Watcher of Chronepsis,Osservatore Indifferente di Chronepsis,noun,Class,Classes
Divine Crusader,Crociato Divino,noun,Class,Classes
Divine Oracle,Oracolo Divino,noun,Class,Classes
Divine Prankster,Burlone Divino,noun,Class,Classes
Doomlord,Signore del Fato,noun,Class,Classes
Dracolyte,Accolito dei Draghi,noun,Class,Classes
Dragon Ascendant,Drago Asceta,noun,Class,Classes
Dragon Disciple,Discepolo del Drago,noun,Class,Classes
Dragonkith,Valletto dei draghi,noun,Class,Classes
Dragonrider,Cavaliere di Draghi,noun,Class,Classes
Dragonslayer,Uccisore di Draghi,noun,Class,Classes
Dragonsong Lyrist,Poeta Lirico del Canto del Drago,noun,Class,Classes
Druid,Druido,noun,Character class,Classes
Duelist,Duellante,noun,Class,Classes
Dungeon Delver,Esploratore di Dungeon,noun,Class,Classes
Dwarven Defender,Difensore Nanico,noun,Class,Classes
Earth Dreamer,Sognatore della Terra,noun,Class,Classes
Effigy Master,Maestro dell'Effigie,noun,Class,Classes
Eldritch Knight,Cavaliere Mistico,noun,Class,Classes
Elemental Master,Maestro Elementale,noun,Class,Classes
Elemental Savant,Sapiente Elementale,noun,Class,Classes
Elemental Warrior,Combattente Elementale,noun,Class,Classes
Emissary of Barachiel,Emissario di Barachiel,noun,Class,Classes
Enlightened Fist,Pugno Illuminato,noun,Class,Classes
Ephemeral Exemplar,Effimero Esemplare,noun,Class,Classes
Expert,Esperto,noun,Character class,Classes
Fighter,Guerriero,noun,Character class,Classes
Fist of Raziel,Pugno di Raziel,noun,Class,Classes
Fleshwarper,Modellacarne,noun,Class,Classes
Fochlucan Lyrist,Liristradi Fochlucan,noun,Class,Classes
Frenzied Berserker,Berserker Furioso,noun,Class,Classes
Green Star Adept,Adepto della Stella Verde,noun,Class,Classes
Halfling Outrider,Avanguardia Halfling,noun,Class,Classes
Hexblade,Lama Iettatrice,noun,Class,Classes
Hidecarved Dragon,Drago dalla Corazza Incisa,noun,Class,Classes
Hierophant,Ierofante,noun,Class,Classes
Highland Stalker,Predatore delle Montagne,noun,Class,Classes
Horizon Walker,Camminatore degli Orizzonti,noun,Class,Classes
Initiate of Pistis Sophia,Iniziato di Pistis Sofia,noun,Class,Classes
Initiate of the Draconic Mysteries,Iniziato ai Misteri Draconici,noun,Class,Classes
Initiate of the Sevenfold Veil,Iniziato dei Sette Veli,noun,Class,Classes
Invisible Blade,Lama Invisibile,noun,Class,Classes
Iron Mind,Mente di Ferro,noun,Class,Classes
Keeper of the Cerulean Sign,Custode del Segno Ceruleo,noun,Class,Classes
Knight of the Chalice,Cavaliere del Calice,noun,Class,Classes
Knight Protector,Cavaliere Protettore,noun,Class,Classes
Lion of Talisid,Leone di Talisid,noun,Class,Classes
Loredelver,Ricercatore del Sapere,noun,Class,Classes
Loremaster,Maestro del Sapere,noun,Class,Classes
Lurking Terror,Terrore Incombente,noun,Class,Classes
Maester,Mastro Artigiano,noun,Class,Classes
Mage of the Arcane Order,Mago dell'Ordine Arcano,noun,Class,Classes
Master of Many Forms,Maestro dalle Molte Forme,noun,Class,Classes
Master of Radiance,Maestro della Luminosità,noun,Class,Classes
Master of Shrouds,Maestro del Sudario,noun,Class,Classes
Master of the Unseen Hand,Mestro della Mano Invisibile,noun,Class,Classes
Master Thrower,Maestro Tiratore,noun,Class,Classes
Master Transmogrifist,Maestro Trasformista,noun,Class,Classes
Master Vampire,Maestro Vampiro,noun,Class,Classes
Menacing Brute,Bruto Minaccioso,noun,Class,Classes
Mindbender,Dominatore Mentale,noun,Class,Classes
Mindspy,Spia Mentale,noun,Class,Classes
Monk,Monaco,noun,Character class,Classes
Mystic Theurge,Teurgo Mistico,noun,Class,Classes
Nature's Warrior,Combattente Naturale,noun,Class,Classes
Nightsong Enforcer,Militante del Canto Notturno,noun,Class,Classes
Nightsong Infiltrator,Infiltrato del Canto Notturno,noun,Class,Classes
Occult Slayer,Uccisore dell'Occulto,noun,Class,Classes
Order of the Bow Initiate,Iniziato dell'Ordine dell'Arco,noun,Class,Classes
Outcast Champion,Campione dei Reietti,noun,Class,Classes
Paladin,Paladino,noun,Character class,Classes
Pale Master,Maestro Esangue,noun,Class,Classes
Peregrine Runner,Corridore Pellegrino,noun,Class,Classes
Platinum Knight,Cavaliere di Platino,noun,Class,Classes
Purifier of the Hallowed Doctrine,Purificatore della Dottrina Consacrata,noun,Class,Classes
Purple Dragon Knight,Cavaliere dei Draghi Purpurei,noun,Class,Classes
Radiant Servant of Pelor,Servitore Radioso di Pelor,noun,Class,Classes
Rage Mage,Mago Iracondo,noun,Class,Classes
Rainbow Servant,Servitore Iridescente,noun,Class,Classes
Rogue,Ladro,noun,Character class,Classes
Runesmith,Creatore di Rune,noun,Class,Classes
Sacred Exorcist,Esorcista Sacro,noun,Class,Classes
Sacred Fist,Pugno Sacro,noun,Class,Classes
Sacred Purifier,Purificatore Sacro,noun,Class,Classes
Sacred Warder of Bahamut,Sacro Guardiano di Bahamut,noun,Class,Classes
Sanctified Mind,Mente Santificata,noun,Class,Classes
Savant Aboleth,Sapiente Aboleth,noun,Class,Classes
Scar Enforcer,Militante delle Cicatrici,noun,Class,Classes
Scout,Esploratore,noun,Class,Classes
Seeker of the Misty Isle,Cacciatore dell'Isola Brumosa,noun,Class,Classes
Seeker of the Song,Cercatore del Canto,noun,Class,Classes
Shadow Sentinel,Sentinella d?Ombra,noun,Class,Classes
Shadowbane Inquisitor,Inquisitore Anatema delle Ombre,noun,Class,Classes
Shadowbane Stalker,Cacciatore Anatema delle Ombre,noun,Class,Classes
Shadowcraft Mage,Mago delle Arti d'Ombra,noun,Class,Classes
Shadowdancer,Danzatore delle Ombre,noun,Class,Classes
Shadowmind,Ombra Mentale,noun,Class,Classes
Shining Blade of Heironeous,Lama Scintillante di Heironeus,noun,Class,Classes
Sorcerer,Stregone,noun,Character class,Classes
Stalker of Kharash,Cacciatore di Kharash,noun,Class,Classes
Stonedeath Assassin,Assassino della Morte di Pietra,noun,Class,Classes
Stonelord,Signore della Pietra,noun,Class,Classes
Stonespeaker Guardian,Custode degli Oracoli di Pietra,noun,Class,Classes
Stormlord,Signore delle Tempeste,noun,Class,Classes
Streetfighter,Guerriero di Strada,noun,Class,Classes
Sublime Chord,Accordo Sublime,noun,Class,Classes
Suel Arcanamach,Arcanamach di Suel,noun,Class,Classes
Tempest,Tempesta,noun,Class,Classes
Temple Raider of Olidammara,Predatore dei Templi di Olidammara,noun,Class,Classes
Thaumaturgist,Taumaturgo,noun,Class,Classes
Thayan Knight,Cavaliere Thayan,noun,Class,Classes
Thief-acrobat,Ladro-Acrobata,noun,Class,Classes
Tomb Warden,Protettore della Tomba,noun,Class,Classes
Topaz Guardian,Guardiano di Topazio,noun,Class,Classes
Troubadour of Stars,Trovatore delle Stelle,noun,Class,Classes
True Necromancer,Necromante Puro,noun,Class,Classes
Unholy Ravager of Tiamat,Sacrilego Distruttore di Tiamat,noun,Class,Classes
